title,author,duration,genre,year,views
starboy,the weekend,03:51,R&B,2018,3167864389
one dance,drake/kyla/wizkid,02:53,hip-hop,2016,3090948778
now we are free,hans zimmer,04:14,orchestral,1998,236807157
paradise,coldplay,04:39,pop,2011,1245644079
me porto bonito,bad bunny/chencho corleone,02:58,reggaeton,2022,1750608870
blinding lights,the weekend,03:22,pop,2020,2870000000
old town road,lil nas x feat. billy ray cyrus,02:37,country/rap,2019,1950000000
bad guy,billie eilish,03:14,pop,2019,1740000000
levitating,dua lipa,03:23,pop,2020,1530000000
good 4 u,olivia rodrigo,02:58,pop rock,2021,1250000000
butter,bts,02:44,k-pop,2021,1290000000
stay,the kid laroi & justin bieber,02:21,pop,2021,1650000000
montero (call me by your name),lil nas x,02:18,pop,2021,1320000000
drivers license,olivia rodrigo,04:02,pop,2021,1590000000
easy on me,adele,03:45,pop,2021,1120000000
shivers,ed sheeran,03:27,pop,2021,900000000
save your tears,the weekend ,03:36,pop,2020,1250000000
peaches,justin bieber feat. daniel caesar & giveon,03:18,R&B,2021,1310000000
as it was,harry styles,02:47,pop,2022,1330000000
about damn time,lizzo,03:11,funk,2022,750000000
born to run,bruce springsteen,04:29,rock,1975,346758197
wake me up,avicii,04:07,electronic,2013,2253395953
More Than a Feeling,Boston,04:45,Rock,1976,47000000
One,U2,04:36,Rock,1991,4900000
Back in Black,AC/DC,04:15,Rock & Roll,1980,212000000
We Will Rock You,Queen,02:02,Rock ,1977,600000000
Poker Face,Lady Gaga,03:57,Pop,2008,350000000
Sweet Dreams,Eurythmics/Annie Lennox,03:36,Pop,2009,50000000
